Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
6,2024-12-02 10:30:00,2.0,49687,193,24394,751141.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:30:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:30:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
7,2024-12-02 10:30:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:30:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:31:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:32:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:32:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
0,2024-12-02 10:32:00,17.969364,39732,79,28256,932164.0,5822,5691,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:32:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
7,2024-12-02 10:32:00,2.0,48646,193,24396,737995.0,206,5489,OTA-SHORT,OTA-SHORT,Smartphone,3G
6,2024-12-02 10:32:00,2.0,49687,193,24394,751141.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:33:00,2.0,48646,193,24394,737995.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:33:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:34:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,2651,491,24394,771766.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,2651,491,24394,771766.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:35:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
1,2024-12-02 10:35:00,43.504776,31784,5,21038,837526.0,2400,5586,MOBILIS,OFF-NET,Basic & Feature Phone,2G
6,2024-12-02 10:36:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:36:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:37:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:37:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:38:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:38:00,2.0,2704,699,24394,796233.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:38:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:38:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:39:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:39:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:39:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
